"videoaficionat amic Jana","p"
"Videoarte","o"
"Videostudi s.c.p.","o"
"Virginia Villaplana","p"
"Viviana Narotzky","p"
"W. J. T. Mitchell","p"
"Walid Raad","p"
"Walid Sadek","p"
"Walter Mignolo","p"
"Werner Hamacher","p"
"Will Rogan","p"
"William Klein","p"
"William Raban ","p"
"Witte de With","p"
"X. Cuevas","p"
"Xavier Antich","p"
"Xavier Taraubella ","p"
"Ximena Covaleda","p"
"Yael Bartana","p"
"Yassin al Haj Saleh","p"
"Yervant Gianikian","p"
"Yto Barrada","p"
"Yves Michaud","p"
"Z. Zinczuk","p"
"Zahia Rahmani","p"
"Zaida Muxí","p"
"ZDF","o"
"Zelito Viana","p"
"Zespol Filmowy Tor","p"
