"any","Codi arxiu digital","duració","exposició","intal.lació","núm. inventari","observacions","préstec","productor",,"qualitat","Realització",,"so","status","suport","tipus","títol"
,"045_FV7_C016_NI378",,"Cultures d'arxiu",,378,"reportatge emès a Informatiu de TV3",,"TV3","o",,"TV3","o","si","1/1","VHS","color","Reportatge Cultures d'arxiu"
"1994, novembre.","021_FV7_C013_NI60",,"En l'esperit de Fluxus (25 novembre 1994 - 29 gener 1995)","Reportatge dia inauguració i entrevista Manolo ",60,,"Babuin, digitalització (gener 2011)","Agència EFE","o",,"Agència EFE","p",,"còpia","VHS PAL ","color","Reportatge dia inauguració En l'esperit de Fluxus i entrevista Manolo 
"
"1996",,"01:37:33 ","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",730,"14-19 de maig de 2008",,,,,"Hervé Le Roux","p","V.O. Subtitulada en castellà","12.2 1/2","DVD b/n"," PAL, 4/3. Stereo","Reprise."
"1969",,"00:03:30","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",725,"14-19 de maig de 2008",,,,,"Grup Medvedkine de Besançon","o","V.O. Subtitulada en castellà","10.2","DVD b/n"," PAL, 4/3. Stereo","Rhodia 4x8."
"1982-84","036_FV3_C016_NI151","00:55:27'","Dan Graham","Auditori",151,"còpia feta de l'original que va deixar Glòria Moure","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,"Dan Graham","p","si","còpia 1/3","U-Matic","color, NTSC","Rock My Religion"
"1998",,,"Chris Marker","Roseware",221,"disc del taller de Roseware",,"Constant vzw","o",,"Chris Marker, Laurence Rassel","p, p",,"4/4","disc jaz de 2 gb","color","Roseware"
"2003
","070_FV5_C016_NI589","04:30:00","Route 181, fragments d’un viatge a Palestina-Israel",,589,"Duración total de la pelicula 270 min.","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,"Eyal Sivan, Michel khleifi","p, p","Con sonido. Subtitulos en castellano","3/3","Betacam SP S","color","Route 181. Fragmentos de un viaje a Palestina-Israel. 
The North. "
"2003
","070_FV5_C016_NI590","01:45:00","Route 181, fragments d’un viatge a Palestina-Israel",,590,,"Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Sourat Films 
","o","buena","Eyal Sivan, Michel khleifi","p, p","Con sonido. Subtitulos en catsellano","3/3","Betcam SP S","color","Route 181. Fragmentos de un viaje a Palestina-Israel. The Centre. "
"2003","070_FV5_C016_NI591","01:25:00","Route 181, fragments d’un viatge a Palestina-Israel",,591,,"Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011
","Sourat Films 
","o",,"Eyal Sivan,  Michel khleifi","p, p","Con sonido. V.O. con subtitulos en castellano","3/3","Betacam SP S","Color","Route 181. Fragmentos de un viaje a Palestina-Israel. The South. "
"2000",,,"Representacions àrabs contemporànies. Beirut / Líban",,672,"Presentació PowerPoint. Obra.",,,,"bona","Naji Assi, Tony Chakar","p, p","no",,"CD (PowerPoint)","color","Rouwaysset: A modern vernacular"
"1965
",,"00:52:23","Tour-ismes. La derrota de la dissensió",,561,,,,,"bona","Joan Olivé Vagué","p","V.O. en castellà","1","DVD","Color","Safari forográfico en Kenia y Tanganika"
"1996","042_FV7_C016_NI286","01:20:00","Renée Green. Ombres i senyals",,286,"Cinta nova no utilitzada","Babuin, digitalització (gener 2011)",,,"bona","Renée Green","p","si","3/3","VHS Pal","color","Samir Alschausky, Henrietta Schroeter, Simin Farkhondeh"
"1982",,"01:40:00","Chris Marker","auditori (cicle de cinema)",183,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Cedit a la Biblioteca. Prestat al germà de la Nuria Enguita el dia 13 de febrer de 2002.","ARGOS (distribuidora)","o",,"Chris Marker","p","bo","còpia 1/1","VHS","color","Sans Soleil"
,"051_FV7_C016_NI527","00:13:00","Arquitectures del discurs",,527,,"Babuin, digitalització (gener 2011)","VET Facilities","o",,"Pratibha Parmar","p","si","1/1","VHS","color","Sari Red"
"2005",,"00:10:35","Entusiasme",,835,"Publicat sota llicència CC By-Sa",,,,,"Neil Cummings, Marysia Lewandowska, E. Simpson, B. White","p, p, p, p","si",,"DVD","b/n","Screen Tests 1/4"
,"042_FV7_C016_NI302","00:13:53","Renée Green. Ombres i senyals",,302,,"Babuin, digitalització (gener 2011)",,,"Bona","Renée Green","p","si","1/1","VHS Pal","color","Secession"
"1977",,,"El somni del públic: Theresa Hak Kyung  Cha","Reveille",605,,,,,,"Theresa Hak Kyung Cha","p","sonido. voz de la artista","1","cd-r  audio",,"Seduction ( Enanched )."
"2000 - 2005",,,"Registres i hàbits. Màquina de temps / imatges d’espai",,656,,,,,,"Yael Bartana","p",,,"DVD",,"Selected Works, 2000 - 2005: Siren´s Songs, 2005; Wild Seeds, 2005; Odds and Ends, 2005; You Could Be Lucky, 2004; Low Relief II, 2004; Short Memory, 2004; When Adar Enters, 2003; Ad De´lo Yoda, 2003; Freedom Border, 2003; Kings of the Hill, 2003; Trembling Time, 2001; Tuning, 2001; Disembodying the National Army Tune, 2001; Profile, 2000
"
"1950",,"01:00:04","Merce Cunningham",,437,"es repeteix quatre cops",,"Fundació Antoni Tàpies","o","bona","Fundació Antoni Tàpies","o","sí",,"VHS PAL","color","Septet (1953); Minutiae (1954); Antic Meet (1958); Night Wandering (1958); Changeling (1957)."
,"046_FV7_C016_NI384","00:30:00","Matt Mullican. Més detalls d’un univers imaginari",,384,"còpia per a exposició donada per Serralves","Babuin, digitalització (gener 2011)","Fundação Serralves","o",,"Fundação Serralves","o","si","1/2","VHS","color","Shirts on/off"
,"024_FV7_C016_NI440","00:10:14","Jana Sterbak. Velleitas",,440,"sense editar
Fundació Antoni Tàpies, UPC","Babuin, digitalització (gener 2011)",,,"bona",,,"no n'hi ha ","còpia","VHS","color","Silla Autónoma"
"1974, 1976, 1976, 1978, 1983, 1982",,,"Sanja Iveković. Alerta general. Obres 1974-2007",,643,,,,,,"Sanja Iveković","p",,,"DVD",,"Slatko Nasilje (Sweet Violence), 1974, video, 5 min 59 s 
Rekonstrukcije 1952-1976 (Reconstructions 1952-1976)
1976, video, b/w, sound, 8 min 37 s
Monument, 1976, video, b/w, sound, 4 min 23 s
Make Up – Make Down, 1978, video, colour, 9 min 20 s
No end (with Dalibor Martinis), 1983, Video, colour, sound, 7 min 37 s
Osobni rezovi (Personal Cuts), 1982, video, colour, sound, 3 min 
42 s
"
"1974, 1974, 1976, 1976, 1976, 1976",,,"Sanja Iveković. Alerta general. Obres 1974-2007",,642,,,,,,"Sanja Iveković","p",,,"DVD",,"Slatko Nasilje (Sweet Violence), 1974, video, 6 min 5 s
Gledanje (Looking At), 1974, Video, b/w, sound, 10 min 3 s
Rekonstrukcije 1952-1976 (Reconstructions 1952-1976)
1976, video, b/w, sound, 8 min 37 s
Instrukcije br. 1 (Instructions No. 1), 1976, video, b/w, sound, 6 min 3 s
Monument, 1976, video, b/w, sound, 4 min 23 s
Make Up – Make Down, 1976, video, b/w, 9 min 20 s
"
"1952/53-1997","042_FV7_C016_NI291","00:40:00","Renée Green. Ombres i senyals",,291,"Cinta nova no utilitzada","Babuin, digitalització (gener 2011)",,,"bona","Renée Green","p","muda","2/2","VHS Pal","color","Slides of Korea (Korea Slides)"
"1993",,"00:04:15","Chris Marker","auditori (cicle de cinema)",177,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Babuin, digitalització (gener 2011)",,,,"Chris Marker","p","bo","còpia 1/1","VHS","color","Slon-tango"
,"044_FV7_C016_NI365","00:36:00","Rainer Oldendorf","Smoke Rings",365,"còpia per a exposició
Llorenç Torrades","Babuin, digitalització (gener 2011)",,,,"Rainer Oldendorf","p","si","1/2","VHS ","color","Smoke Rings. Dap Internet 1 + 2"
"1970",,"00:18:30","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",726,"14-19 de maig de 2008",,,,,"Grup Medvedkine de Sochaux","o","V.O. Subtitulada en castellà","10.3","DVD b/n"," PAL, 4/3. Stereo","Sochaux, 11 juin 68."
"2004
",,"00:28:40","Tour-ismes. La derrota de la dissensió",,580,"center screen",,,,"buena","Multiplicity","o","con sonido","1","dvd","color","SolidSea-case04: (M)RE-Tourism"
"1999","042_FV7_C016_NI292","00:38:00","Renée Green. Ombres i senyals",,292,"Cinta utilitzada durant l'exposició","Babuin, digitalització (gener 2011)",,,"bona","Renée Green","p","si","1/4","VHS","color","Some Chance Operations"
"2000",,"00:36:52","Renée Green. Ombres i senyalss",,301,,,,,,"Renée Green","p","si",,"Betacam
","PAL","Some Chance Operations"
,,"00:18:00","Hélio Oiticica",,807,,,,,,,,"so, anglès, subtítols en portuguès",,"VHS","color","Somos o molde, a você cabe o sopro (Lygia Clark, Hélio Oiticica, sala especial do 90 Salão Nacional de Artes Plásticas)."
,,"00:18:00","Lygia Clark",,760,"No tenim informació. Pendent de visualitzar. Projecte de Suely Rolnik.","Babuin, digitalització (desembre 2010)",,,,,,,,"U-Matic",,"Somos o molde, a você cabe o sopro."
"1970",,"00:58:14","Merce Cunningham","Video D Studio",438,"es repeteix dues vegades",,"Fundació Antoni Tàpies","o","bona","Fundació Antoni Tàpies","o","mono",,"VHS PAL","color","Sounddance (1970); Solo (1976); Torse (1976); Travelogue (1977); Exchange (1978)"
"1982",,"00:11:46","Tour-ismes. La derrota de la dissensió",,774,"Film projectat a l'exposició Tour-ismes. La derrota de la dissensió",,,,"Bona. Còpia","Lisl Ponger","p","No",,"DVD","Color","Souvenirs"
"2001","047_FV7_C017_NI509","00:00:10","Eulàlia Valldosera. Obres 1990-2000",,509,"BABUIN","Babuin, digitalització (gener 2011)",,,,"Fundació Antoni Tàpies","o","si","1/2","VHS","color","Spot Escombrada"
"2001","047_FV7_C017_NI510","00:00:10","Eulàlia Valldosera. Obres 1990-2000",,510,"BABUIN",,,,,"Fundació Antoni Tàpies","o","si","2/2","VHS","color","Spot Escombrada"
"1994, 16 desembre.","021_FV7_C008_NI28","--","En l’esperit de Fluxus","activitat - concert",28,"còpies fetes per Estudi Fornell","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Philip Corner","p","--","còpia","VHS PAL","color","Starting from the keyboard..."
"1996","042_FV7_C016_NI281","01:00:00","Renée Green. Ombres i senyals",,281,"Cinta nova no utilitzada","Babuin, digitalització (gener 2011)",,,"bona","Renée Green","p","si","2/2","VHS","b/n","Super 8 Footage"
"1959",,"00:20:00 ","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",710,"14-19 de maig de 2008",,,,,"Guy Debord","p","V.O. Subtitulada en castellà","2.1","DVD b/n","Pel·lícula. PAL, 4/3. Stereo","Sur le passage de quelques personnes à travers une assez courte unité de temps."
,,"00:05:53",,"Suspension Packing System",459,,,,,,,,,,"VHS",,"Suspension Packing System"
"1987-2001",,"00:16:30","Sanja Iveković. Alerta general. Obres 1974-2007",,640,,,,,,"Sanja Iveković","p","si",,"DVD, video, sound, b/w, autoplay, looped
","Videoinstallation","Svjetionik (Lighthouse)"
"1973; 1974; 1979; 1985; 1970; 1971;1974; 1960
",,,"Entusiasme","archive lounge part 3",620,,,"Neil Cummings, Marysia Lewandowska","p, p","buena",,,"con sonido","1","dvd","color y bñanco-negro","T. Wudzki, ""Theatre"" 1973; T. Wudzki, ""A look"" 1974; P. Majdrowicz ""gaze"" 1979; P. Majdrowicz ""Anxieties""  1985; R. Halawacz ""ole"" 1970s; Z. Iwaszuk, J. Ridan ""The village of Wysoka"" 1971; Z. Iwaszuk, J. Ridan ""In order to be"" 1974; SAKF Jupiter ""The chocolate factory"" 1960s.   "
"1903, 1904",,"1h 10min","Antoni Tàpies. Els llocs de l'art",,739,"Selecció feta per Miquel Tàpies de les pel·lícules d'Antoni Tàpies en Súper-8mm",,"The Library of Congress","o","Dolenta","Georges Méliès","p","NO",,"DVD","b/n","TALES OF TERROR

1. ""The Melomaniac"" (Le melomane), 1903
2. ""The Monster"", 1903
3. ""The Terrible Turkish Executioner"", 1904

THE MAGIC OF MÉLIÈS

4. ""Jupiter's Thunderbolts"" (Le tonnerre de Jupiter), 1903
5. ""The Mermaid"", 1904
6. ""The Magic Lantern"", 1903

LA COMEDIE ET MAGIQUE DE MÉLIÈS

7. ""The Witch's Revenge""
8. ""The Inn Where No Man Rests"" (L'Auberge du bon repos), 1903

LA FANTASIE DE MÉLIÈS

9. ""Extraordinary Illusions"" (Illusion funambulesques), 1903
10. ""The Enchanted Well"" (Le puits fantastique), 1903
11. ""The Apparition"", 1903

12, 13 LA COMEDIE ET MAGIQUE DE MÉLIÈS (repetides)
14, 15, 16 LA FANTASIE DE MÉLIÈS (repetides)
"
"1998","054_FV7_C016_NI803","01:10:00","Representacions àrabs contemporànies. Beirut  / Líban",,803,,"Babuin, digitalització (gener 2011)","Agloul et Hazar Productions","o",,"Mohammad Soueid","p","V.O. en àrab, subtítols en francès",,"VHS Loop","color","Tango of yearning (Le tango de l'Espoir)"
"1955","014_FV7_C016_NI14","00:21:00","Brassaï","Auditori",14,"Premi Cannes 1955. 21 minuts","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o","Bona","Brassaï","p","Muda amb música","còpia 1","VHS  (passat de 16 mm)","Blanc i negre","Tant qu'il y aura des Bêtes"
"1955","014_FV7_C016_NI799",,"Brassaï","Auditori",799,,"Babuin, digitalització (gener 2011)",,,,"Brassaï","o","sí",,"VHS","b/n","Tant qu'il y aura des Bêtes
Chambre noir"
"1990",,"00:57:00 ",,"auditori",19,"còpia de l`original de la biblioteca.
L'anglesa és doblada a sobre de la parla, la catalana és original.
còpia usada",,"Omnibus  BBC, TVE Catalunya","o, o","bona","Gregory Rood","p","català","còpia 1","VHS","color","Tàpies"
"1990",,"01:56:48",,"auditori",660,"58'24"" + 58'24''",,"Omnibus BBC, TVE Catalunya","o, o","bona","Gregory Rood","p","V.O. català + Doblada a l'anglès, sense subtítols","còpia 1/6","DVD","color","Tàpies"
"1990",,"00:57:19",,"auditori",666,"original",,"Omnibus BBC, TVE Catalunya","o, o",,"Gregory Rood","p","V.O. català, subtitulada en castellà",,"DVD","color","Tàpies"
"1990",,"01:56:48",,"auditori",699,"MÀSTER. 58'24'' + 58'24''",,"Omnibus BBC, TVE Catalunya","o, o","bona","Gregory Rood","p","V.O. català + Doblada a l'anglès. Subtítols en castellà",,"DVD (màster)","color","Tàpies"
"2007",,"00:13:08",,,659,"Original a biblioteca. Disposem de 3 còpies (2 de suguretat i una per arxiu d'Amics Patrocinadors-AG-)
Obsequi de Hannu Hilden
Tàpies. Espoo Museum of Modern Art (EMMA)",,"Art Partners, Kuvasto, VEGAP","o, o, o","Bona","Alasin Media Oy (Tampere)","o","V.O. sub. en anglès",,"DVD","Color","Tàpies. Espoo Museum of Modern Art. 6.6 - 26.8.2007"
"2004",,"01:04:00",,,528,"TVC cede gratuitamente el documental Te de Tàpies a la Fundació Antoni Tàpies para ser exhibido en exposiciones, siempre que se exhiba completo, incluyendo los títulos de crédito, y conste la colaboración de Televisió de Catalunya en los catálogos y folletos de las mismas.","SF per Lissone l'1 d'abril de 2005","TVC (Televisió de Catalunya)","o","bona","Ramon Millà, Carolina Tubau","p, p","catalán con subtítulos en castellano","1/6","DVD","Color","Te de Tàpies"
"2004",,"02:08:00",,,800,"TVC cedeix gratuïtament el documental per ser exhibit en  exposicions, sempre i quan s'exhibeixi complert, amb els títols de crèdit inclosos i es faci constar al col·laboració de Televisió de Catalunya en els catàlegs i fulletons de les mateixes.
Còpia per exposició.",,"TVC (Televisió de Catalunya)","o","bona","Ramon Millà, Carolina Tubau","p, p","V.O. en català. Subtítols en castellà i en anglès",,"DVD Loop","color","Te de Tàpies"
,,"01:50:04","L’any 1967: l’objecte d’art i la cosa pública",,458,"està en portuguès",,"Zelito Viana","p",,"Glauber Rocha","p","mono",,"VHS","blanc i negre 
","Terra em Transe"
,"017_FV7_C016_NI495","01:50:00","L’any 1967: l’objecte d’art i la cosa pública",,495,,"Babuin, digitalització (gener 2011)","Zelito Viana","p","dolenta","Glauber Rocha","p","si","1/1","VHS","b/n","Terra em transe"
"2001","049_FV7_C016_NI484","01:30:00","Insideout: jardí del cambalache",,484,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","Terrisseria"
"2001","049_FV7_C016_NI481","01:00:00","Insideout: jardí del cambalache",,481,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","Terrisseria per la terrassa; Llavors per l'eternitat; Llavors al museu"
,"010_FV9_C016_NI09","01:10:00","Krzysztof Wodiczko. Instruments, projeccions, vehicles","Xenobàcul",9,"vídeo que va dins el xenobàcul. 70 min. Seqüències  de 2 min.",,,,"regular
","Krzysztof Wodiczko","p",,"original","8 mm.","color","The Allien Staff"
"2004 a 2006",,"01:43:47","Representacions àrabs contemporànies. L’equació iraquiana",,677,"ubicació: despatx Miquel, arxiu RAC",,,,,"Salam Pax","p","V.O. àrab, anglès. Subtítols en castellà.",,"DVD","Documental","The Baghdad Blogger:
The Baghdad Blogger, 2004 - 50'30""
Voting Amidst Violence, 2005 - 13'05""
Constitution, 2005 - 15'00""
Justice and Reonciliation, 2005 - 12'41""
Three Years On, 2006 - 12'31"""
"2000-2001","046_FV7_C016_NI512","00:30:00","Matt Mullican. Més detalls d’un univers imaginari","The Computer Project",512,"còpia utilitzada per a l'exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","The Computer Project"
"1983","036_FV7_C016_NI157","00:53:00","Dan Graham","Interior design for space showing videos",157,"còpia feta de l'original de Glòria Moure","Babuin, digitalització (gener 2011)",,,,"Dan Graham","p","si","còpia única","VHS","color","The Fall perverted by language bis"
"1995, maig.","022_FV7_C016_NI56",,"Els límits del museu","The Institutional State",56,"Gravacions de la instalació, sala d'abaix i despatx Manolo.","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Julia Scher","p",,"original","VHS PAL","blanc i negre","The Institutional State"
"2004",,"00:09:51","Registres i hàbits. Màquina de temps / imatges d’espai",,626,"DVD, color, so, 9 min 51 s
V.O. sub. Castellà",,,,,"Jeanne Faust","p",,,"DVD",,"The Mansion  (La mansió)"
"2004 / 2005",,"00:09:51","Registres i hàbits. Màquina de temps / imatges d’espai",,625,"DVD, color, so, 9 min 51 s
V.O.
DVD, color, so, 9 min
V.O.",,,,,"Jeanne Faust","p",,,"DVD",,"The Mansion  (La mansió), 2004
IV, 2005"
"1998 a 2001","091_FV7_C016_NI823","01:23:40","Sanja Iveković. Alerta general. Obres 1974-2007",,823,"Hi ha més obres","Babuin, digitalització (gener 2011)",,,,"Maja Bajevic","p","sí",,"VHS","color","The speaker
Bergman, bond, bajevic
maureen, mamman et moi
Dressed up
Black on white
Women at work
Zivot je lijep (la vie est belle)
"
,"054_FV7_C016_NI790","01:00:00","Representacions àrabs contemporànies. Beirut  / Líban",,790,,"Babuin, digitalització (gener 2011)",,,,"Jalal Toufic Ashura","p","sí",,"VHS","color","This blood spilled in my vains
(Small monitor 1)"
,"054_FV7_C016_NI791","01:00:00","Representacions àrabs contemporànies. Beirut  / Líban",,791,,"Babuin, digitalització (gener 2011)",,,,"Jalal Toufic Ashura","p",,,"VHS",,"This blood spilled in my vains
(Small monitor 2)"
"1995",,"01:01:00","Els límits del museu",,837,"© Bill Fontana, 1995
""Be sure to send it to Madrid"". Loop",,,,,"Bill Fontana","p","sí",,"Cd ","àudio","Time Fountain
Clock from Gràcia
"
"1995",,"00:30:06","Els límits del museu",,839,"© Bill Fontana, 1995",,,,,"Bill Fontana","p","sí",,"CD àudio","àudio","Time Fountain. Metro Station at Sagrada Família"
"1967","017_FV7_C016_NI447","01:23:33","L’any 1967: l’objecte d’art i la cosa pública",,447,"està en anglès","Babuin, digitalització (gener 2011)","Frederick Wiseman","p","una mica gastada",,,"mono",,"VHS","blanc i negre","Titicut Follies"
"1998",,"00:51:36","Merce Cunningham","Video D Studios",436,"es repeteix dues vegades",,"Fundació Antoni Tàpies","o","una mica gastada","Fundació Antoni Tàpies","o","mono",,"VHS PAL","color","Trackers (1991); Beach Birds (1991); Enter (1992); Ground level overlay (1995); Scenario (1997)."
"2002",,"00:06:53","Sanja Iveković. Alerta general. Obres 1974-2007",,636,,,"Elektra, Women´s Art Center","o, o",,"Sanja Iveković","p","no","1/2","DVD, no sound, colour, autoplay , looped",,"Tražim majčin broj (Searching for my mother´s number)
Family Archive"
"2002",,"00:28:09","Sanja Iveković. Alerta general. Obres 1974-2007",,633,"28 min 9 s / 10 s Frame Translation From the Audio in English",,"Elektra, Women´s Art Center","o, o",,"Sanja Iveković","p","si","1/3","DVD, sound, colour, autoplay , looped",,"Tražim majčin broj (Searching for my mother´s number)
Reading my mother diary"
"1961, 1981-1982, 1995 ; 1958-1960; 1952-1955","037_FV7_C016_NI184","01:04:00","Chris Marker","auditori (cicle de cinema)",184,"Còpia d'un Beta obtingut per Gonzalo Saenz de Buruaga pel cicle de cinema i n'hem fet còpia VHS pels arxius. 24 min.; 17 min ; 23 min.","Babuin, digitalització (gener 2011)","José Val del Omar","p",,"José Val del Omar","p","bo","còpia 1/1","VHS","b/n; b/n i color ; b/n","Tríptico elemental de España: Acariño galaico (de barro); Fuego en Castilla; Aguaespejo Granadino"
"1990","036_FV3_C016_NI149","00:06:17'","Dan Graham","Interior design for space showing videos",149,"còpia feta de l'original que va deixar Glòria Moure
còpia passada durant l'exposició
Tony Oursler, amb la col·laboracióSonic Youth","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Tony Oursler, Sonic Youth",,,,,"si","còpia única","U-Matic","color, NTSC","Tunic (Song for Karen)"
"1968-79",,"00:21:00","Tour-ismes. La derrota de la dissensió",,574,,,,,"buena","José Val del Omar ","p","sin sonido","1/2","dvd","color","Turistas resbalando"
"1992","036_FV7_C016_NI154","00:19:34","Dan Graham","Llibreria",154,"còpia feta de l'original de la biblioteca","Babuin, digitalització (gener 2011)",,,,"Dan Graham","p","si","còpia 1/3","VHS","color","Two-Way Mirror Cylinder Inside Cube and Video Salon"
"1982",,"00:17:03","Sanja Iveković. Alerta general. Obres 1974-2007",,641,,,,,,"Sanja Iveković","p","si",,"DVD, video, sound, colour, autoplay, looped",,"Übung Macht den Meister (Practice Makes a Master)"
"1968",,"01:40:00","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",720,"14-19 de maig de 2008",,,,,"Jean-Luc Godard, Grup Dziga Vertov","p, o","V.O. Subtitulada en castellà","7","DVD b/n","PAL, 4/3. Stereo","Un film comme les autres."
"1995","022_FV7_C016_NI445","00:51:30","Els límits del museu",,445,"  ","Babuin, digitalització (gener 2011)","Andrea Fraser","p",,"Andrea Fraser","p","mono",,"VHS",,"Una introducció a la Fundació Antoni Tàpies.
Andrea Fraser"
,"046_FV7_C016_NI382","02:49:00","Matt Mullican. Més detalls d’un univers imaginari",,382,"còpia per a exposició donada per Serralves","Babuin, digitalització (gener 2011)","Fundação Serralves","o",,"Fundação Serralves","o","si","1/2","VHS","color","Under Hypnosis"
"1976","042_FV7_C016_NI298","01:27:00","Renée Green. Ombres i senyals",,298,"Cinta utilitzada durant l'exposició","Babuin, digitalització (gener 2011)EW",,,"bona","Emile de Antonio, Mary Lampson, Haskell Wexler","p, p, p, ","si","1/1","VHS Pal","color","Underground"
"ver campo titulo",,,"El somni del públic: Theresa Hak Kyung  Cha","single channel videos.",613,"untitled (25 min.); Mouth to Mouth (7 min. y 40 sec.); vidéoème (4 min y 30 sec); Secret Spill (27 min.); Permutations (11 min. y 20 sec.); Re Dis Appearing (2 min y 20 sec.).",,,,"buena","Theresa Hak Kyung Cha","p","con sonido. Voz de la artista","1","dvd","Blanco y Negro","Untitled (1973); Mouth to Mouth (1975); Vidéoème (1976); Secret Spill (1974); Permautations (1976); Re Dis Appearing (1977)."
"1985","043_FV4_C016_NI309","00:46:20","Andy Warhol: cinema, vídeo i tv",,309,"Inclou el capítol nº 100 de la sèrie ""Vacaciones en el mar"": ""Feliz cumpleaños"".","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"bona",,,"si","1/1","Betacam SP","color","Vacaciones en el mar (100)"
"1985","043_FV4_C016_NI310","00:49:00","Andy Warhol: cinema, vídeo i tv",,310,"Inclou el capítol nº 108 de la sèrie ""Vacaciones en el mar"": ""Tesoro Escondido"".","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"bona","Richard Kinon","p","si","1/1","Betacam SP","color","Vacaciones en el mar (108)"
"2010",,"1:03:20","Representacions àrabs contemporànies","Espai C (Auditori)",755,"Estrena del documental Valentinos Charalambous, 26 d’octubre de 2010, a la Fundació Antoni Tàpies. La projecció anirà precedida d’una presentació a càrrec de les directores i l’artista. 
Amb Nuria Enguita i Catherine David.
Direcció: Catherine David
Fotografia i so: Michel Balague i Eric Menard",,"Fundació Antoni Tàpies","o","Bona","Catherine David, Michel Balague, Eric Menard","p, p, p","V.O. anglès, subtítols català, castellà, anglès",,"DVD","Color","Valentinos Charalambous. A documentary film"
"1966","038_FV7_C016_NI274","00:50:00","Merce Cunningham",,274,"còpia del màster","Babuin, digitalització (gener 2011)","Merce Cunningham Dance Foundation (Nova York)","o",,,,,"1/1","VHS",,"Variations V"
"1966, 1973",,"01:38:00","Merce Cunningham",,263,"còpia del màster",,"Merce Cunningham Dance Foundation (Nova York)","o",,,,,"1/2","VHS",,"Variations V
Walkaround Time (after Marcel Duchamp)"
,"030_FV7_C016_NI80","00:57:00","Ana Mendieta","Televisió al costat de l'auditori",80,"Còpia fet d'un original dolent del CGAC
","Babuin, digitalització (gener 2011)","Ana Mendieta","p",,"Ana Mendieta","p","mut","còpia 1","VHS ",,"Vàries performances"
,,"00:33:000","Entusiasme","Official kronika. Part 1",622,,,"Kino Polska","o",,"VVAA","p","con sonido, idioma polaco.","1","dvd","color y blanco-negro","varios titulos"
,,,"Entusiasme","Official kronika. Part 2",623,,,"Kino Polska","o","buena","VVAA","p","Con sonido. Idioma polaco","1","dvd","Color y blanco - negro","Varios: Zwyciestwo, De Monte Carlo, Ziemskie podróze Kosmonautow; W. Zimowej Szacie, Na drodze, Pokolenie jutra; Trzy razy ""m"", swiatla w obiektywie, skolimowski, dom, Migawki slaskie. "
"2000
","057_FV7_C016_NI535","01:30:00","Inflamable ",,535," Co-producción España-Francia
con el apoyo de ICAA (Instituto de Cinematografía y de las Artes Audiovisuales)","Babuin, digitalització (gener 2011)","Amanda Films, ICAA","o, o","buena","Tony Gatif",,"con sonido. Idioma castellano","1","vhs","color","Vengo."
,"048_FV7_C016_NI468","00:29:00","Victor Burgin","Venise",468,"còpia","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","Venise"
"1994","042_FV7_C016_NI276","00:30:00","Renée Green. Ombres i senyals",,276,"Cinta utilitzada durant l'exposició.","Babuin, digitalització (gener 2011)",,,"Bona","Renée Green","p","Si","1/1","VHS master","b/n","Venue"
"1979",,"00:02:51","Anna Maria Maiolino",,820,"Música: Elaine Thomazi Freitas
Fotografia S-8mm (1979), edició en vídeo digital 2005",,,,"bona","Anna Maria Maiolino","p",,,"DVD Loop","color","verso/inversus"
,"047_FV7_C016_NI508","00:30:00","Eulàlia Valldosera. Obres 1990-2000",,508,,"Babuin, digitalització (gener 2011)
","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","Video exposició FAT, Escombrada"
